canonical_id,alias_id,raw_words,cleaned_words,raw_chars,cleaned_chars,removed_artifact_lines,word_loss_ratio,char_loss_ratio,warning_flags
pg_austen_1342,author1_work1,127458,127458,728714,721581,0,0.0,0.009788,
pg_austen_158,author1_work2,160541,160541,880424,880263,0,0.0,0.000183,
pg_dickens_1400,author2_work1,185486,185486,994617,994468,0,0.0,0.000146,
pg_dickens_730,author2_work2,158589,158589,893161,892465,0,0.0,0.000772,
pg_poe_2147,author3_work1,91176,91176,571106,527640,0,0.0,0.075329,
pg_poe_2148,author3_work2,96534,96534,602108,557020,0,0.0,0.065574,
pg_twain_76,author4_work1,112231,112231,571053,570883,0,0.0,0.000298,
pg_twain_74,author4_work2,71661,71661,392733,392482,0,0.0,0.00064,
pg_shelley_84,author5_work1,75160,75160,419337,419212,0,0.0,0.000297,
pg_shelley_18247,author5_work2,175711,175711,999982,999826,0,0.0,0.000155,
pg_wilde_174,author6_work1,79181,79181,429313,429248,0,0.0,0.000151,
pg_wilde_773,author6_work2,39596,39596,222399,218962,0,0.0,0.015427,
