canonical_id,author_id,author_name,work_id,work_title,gutenberg_ebook_no,gutenberg_url,plain_text_url,source_role,genre,corpus_status,notes
pg_austen_1342,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,1342,https://www.gutenberg.org/ebooks/1342,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,main,novel,canonical_main,Project Gutenberg page identifies Pride and Prejudice by Jane Austen and plain text is available.
pg_austen_158,austen,Jane Austen,emma,Emma,158,https://www.gutenberg.org/ebooks/158,https://www.gutenberg.org/cache/epub/158/pg158.txt,main,novel,canonical_main,Project Gutenberg page identifies Emma by Jane Austen and plain text is available.
pg_dickens_1400,dickens,Charles Dickens,great_expectations,Great Expectations,1400,https://www.gutenberg.org/ebooks/1400,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,main,novel,canonical_main,Project Gutenberg page identifies Great Expectations by Charles Dickens and plain text is available.
pg_dickens_730,dickens,Charles Dickens,oliver_twist,Oliver Twist,730,https://www.gutenberg.org/ebooks/730,https://www.gutenberg.org/cache/epub/730/pg730.txt,main,novel,canonical_main,Project Gutenberg page identifies Oliver Twist by Charles Dickens and plain text is available.
pg_poe_2147,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,2147,https://www.gutenberg.org/ebooks/2147,https://www.gutenberg.org/cache/epub/2147/pg2147.txt,main,short_fiction_collection,canonical_main,Contains Poe fiction including detective and Gothic tales; remove biographical prefaces during boundary extraction.
pg_poe_2148,poe,Edgar Allan Poe,works_volume_2,The Works of Edgar Allan Poe Volume 2,2148,https://www.gutenberg.org/ebooks/2148,https://www.gutenberg.org/cache/epub/2148/pg2148.txt,main,short_fiction_collection,canonical_main,Contains Poe fiction including The Black Cat Usher Red Death Amontillado Pit and the Pendulum Tell-Tale Heart and others.
pg_twain_76,twain,Mark Twain,huckleberry_finn,Adventures of Huckleberry Finn,76,https://www.gutenberg.org/ebooks/76,https://www.gutenberg.org/cache/epub/76/pg76.txt,main,novel,canonical_main,Project Gutenberg page identifies Adventures of Huckleberry Finn by Mark Twain and plain text is available.
pg_twain_74,twain,Mark Twain,tom_sawyer,The Adventures of Tom Sawyer,74,https://www.gutenberg.org/ebooks/74,https://www.gutenberg.org/cache/epub/74/pg74.txt,main,novel,canonical_main,Project Gutenberg page identifies The Adventures of Tom Sawyer Complete by Mark Twain and plain text is available.
pg_shelley_84,shelley,Mary Shelley,frankenstein,Frankenstein or The Modern Prometheus,84,https://www.gutenberg.org/ebooks/84,https://www.gutenberg.org/cache/epub/84/pg84.txt,main,novel,canonical_main,Project Gutenberg page identifies Frankenstein by Mary Wollstonecraft Shelley and plain text is available.
pg_shelley_18247,shelley,Mary Shelley,the_last_man,The Last Man,18247,https://www.gutenberg.org/ebooks/18247,https://www.gutenberg.org/cache/epub/18247/pg18247.txt,main,novel,canonical_main,Project Gutenberg page identifies The Last Man by Mary Wollstonecraft Shelley and plain text is available.
pg_wilde_174,wilde,Oscar Wilde,dorian_gray,The Picture of Dorian Gray,174,https://www.gutenberg.org/ebooks/174,https://www.gutenberg.org/cache/epub/174/pg174.txt,main,novel,canonical_main,Project Gutenberg page identifies The Picture of Dorian Gray by Oscar Wilde and plain text is available.
pg_wilde_773,wilde,Oscar Wilde,lord_arthur_stories,Lord Arthur Savile's Crime and Other Stories,773,https://www.gutenberg.org/ebooks/773,https://www.gutenberg.org/cache/epub/773/pg773.txt,main,short_fiction_collection,canonical_main,Project Gutenberg page identifies Lord Arthur Savile's Crime and other Wilde stories and plain text is available.
