canonical_id,alias_id,author_id,work_id,cleaned_text_path,cleaned_bytes_utf8,cleaned_chars,cleaned_words,sha256
pg_austen_1342,author1_work1,austen,pride_and_prejudice,data/interim/gutenberg_cleaned/author1_work1.txt,730781,721581,127458,29249bc817354a3e085eb14b328d6221fd42ac7e6333f52cbae825a8008edd25
pg_austen_158,author1_work2,austen,emma,data/interim/gutenberg_cleaned/author1_work2.txt,897318,880263,160541,90dd71fc5ba1d0c57ab3fb3c552172a70395f351fc3d1f7d73624a42dde848d6
pg_dickens_1400,author2_work1,dickens,great_expectations,data/interim/gutenberg_cleaned/author2_work1.txt,1017860,994468,185486,33e664bb9fddde7dc096588354a40340bb6c73e861380b9fb99ba7f097632d1c
pg_dickens_730,author2_work2,dickens,oliver_twist,data/interim/gutenberg_cleaned/author2_work2.txt,916547,892465,158589,a5c5680f19b18502d8ee9604ed541ab395b7ac47a5b4cf77eb78a93f4fe9ff68
pg_poe_2147,author3_work1,poe,works_volume_1,data/interim/gutenberg_cleaned/author3_work1.txt,533481,527640,91176,c0932910b5d0d30c4ec5f5fc98efee9b71e96f3ecc6135e7c6bdb368676bb2c1
pg_poe_2148,author3_work2,poe,works_volume_2,data/interim/gutenberg_cleaned/author3_work2.txt,563210,557020,96534,5bf5e9b9264f4c90232a90e41614b5d2178363424915e480fb1e65251df586a3
pg_twain_76,author4_work1,twain,huckleberry_finn,data/interim/gutenberg_cleaned/author4_work1.txt,590481,570883,112231,a9d4a2b8d52df94a78e7f6cb77d89966af91b558084cb11631448e9cbe8b9236
pg_twain_74,author4_work2,twain,tom_sawyer,data/interim/gutenberg_cleaned/author4_work2.txt,405366,392482,71661,4f918bb37f3cdb23604eab5f24bd7e3b50f828cfd0b8e68ba1cdecc19959e0ca
pg_shelley_84,author5_work1,shelley,frankenstein,data/interim/gutenberg_cleaned/author5_work1.txt,421411,419212,75160,e8f18bc73dfd0d22181dd586f32d35c10e73e3d76c3289ae8ea67edae024d2eb
pg_shelley_18247,author5_work2,shelley,the_last_man,data/interim/gutenberg_cleaned/author5_work2.txt,1006473,999826,175711,1df1ac8f72e85f16147c3e3f399136c6dcc5458c2aa6e4e1ed0e9d3ec7c46527
pg_wilde_174,author6_work1,wilde,dorian_gray,data/interim/gutenberg_cleaned/author6_work1.txt,437390,429248,79181,5b6c487208e1e12023977f26b7f3b8e9a53bcbd7ca104da9440f4fb790f12eb4
pg_wilde_773,author6_work2,wilde,lord_arthur_stories,data/interim/gutenberg_cleaned/author6_work2.txt,222362,218962,39596,d39123ea81cb616d3d762297ce663b74362789529e4aa83d6f4a0e24284093150
