model,split,author_id,precision,recall,f1,support
nearest_centroid,validation,austen,0.777778,0.777778,0.777778,9
nearest_centroid,validation,dickens,0.666667,0.888889,0.761905,9
nearest_centroid,validation,poe,0.7,0.777778,0.736842,9
nearest_centroid,validation,shelley,0.666667,0.888889,0.761905,9
nearest_centroid,validation,twain,0.5,0.222222,0.307692,9
nearest_centroid,validation,wilde,0.428571,0.333333,0.375,9
nearest_centroid,test,austen,0.9,1.0,0.947368,9
nearest_centroid,test,dickens,0.75,0.666667,0.705882,9
nearest_centroid,test,poe,0.666667,0.666667,0.666667,9
nearest_centroid,test,shelley,0.727273,0.888889,0.8,9
nearest_centroid,test,twain,1.0,0.777778,0.875,9
nearest_centroid,test,wilde,0.666667,0.666667,0.666667,9
diagonal_gaussian_nb,validation,austen,0.888889,0.888889,0.888889,9
diagonal_gaussian_nb,validation,dickens,0.5,1.0,0.666667,9
diagonal_gaussian_nb,validation,poe,0.875,0.777778,0.823529,9
diagonal_gaussian_nb,validation,shelley,0.727273,0.888889,0.8,9
diagonal_gaussian_nb,validation,twain,0.75,0.333333,0.461538,9
diagonal_gaussian_nb,validation,wilde,0.75,0.333333,0.461538,9
diagonal_gaussian_nb,test,austen,0.9,1.0,0.947368,9
diagonal_gaussian_nb,test,dickens,0.666667,0.888889,0.761905,9
diagonal_gaussian_nb,test,poe,0.75,0.666667,0.705882,9
diagonal_gaussian_nb,test,shelley,0.545455,0.666667,0.6,9
diagonal_gaussian_nb,test,twain,0.857143,0.666667,0.75,9
diagonal_gaussian_nb,test,wilde,1.0,0.666667,0.8,9
linear_discriminant_shrinkage,validation,austen,0.777778,0.777778,0.777778,9
linear_discriminant_shrinkage,validation,dickens,0.666667,0.888889,0.761905,9
linear_discriminant_shrinkage,validation,poe,0.636364,0.777778,0.7,9
linear_discriminant_shrinkage,validation,shelley,0.636364,0.777778,0.7,9
linear_discriminant_shrinkage,validation,twain,0.75,0.333333,0.461538,9
linear_discriminant_shrinkage,validation,wilde,0.571429,0.444444,0.5,9
linear_discriminant_shrinkage,test,austen,0.9,1.0,0.947368,9
linear_discriminant_shrinkage,test,dickens,0.75,0.666667,0.705882,9
linear_discriminant_shrinkage,test,poe,0.666667,0.666667,0.666667,9
linear_discriminant_shrinkage,test,shelley,0.727273,0.888889,0.8,9
linear_discriminant_shrinkage,test,twain,1.0,0.777778,0.875,9
linear_discriminant_shrinkage,test,wilde,0.666667,0.666667,0.666667,9
