artifact,path,size_bytes,sha256
selected_original_passages.csv,data/processed/selected_original_passages.csv,1256797,4666b70bcf00bf07cf810f1cf13651c0c3c8c2335ef1a8980cd54431599c0e4f
selected_original_passage_metadata.csv,metadata/selected_original_passage_metadata.csv,110644,7aee630abe1f00cf3b5d374798a5504a03c229b5de16f9436143b456ac0d6391
selected_counts_by_author.csv,metadata/selected_counts_by_author.csv,259,35707b8224efb57de31bc34e3d659950a006ce26a9e147d191d6e9fde8676c72
selected_counts_by_work.csv,metadata/selected_counts_by_work.csv,858,04630632a69927a0be2fdad30da0cdf37f22fa5d89f33e1a80ffb91a8509e622
selection_summary.csv,metadata/selection_summary.csv,304,74899d9266fc0652f2214f4a378aea70fff56d9c62306562b9ef153298330e8c
selection_filter_report.csv,metadata/selection_filter_report.csv,440,e67ee770d886afb760d1a2126ebad83e22201f67e0d4f805e9c9c2a8a5d69e7e
selected_passage_md_manifest.csv,metadata/selected_passage_md_manifest.csv,892,de7d23f75aa10b1940c3c0ab15ecf4909276b3af6ff6150aba1a590bd84f4881
selected_passages_austen.md,data/processed/selected_passages_md/selected_passages_austen.md,205879,b3011c4d5db54415cdf4b8dc40609adbde8538877e2f24d46b41179c64c479ae
selected_passages_dickens.md,data/processed/selected_passages_md/selected_passages_dickens.md,205992,7a6832d0dbdecd7ad52edad10764a415f9047bb84b4a59c6eb163f08a3af79a6
selected_passages_poe.md,data/processed/selected_passages_md/selected_passages_poe.md,214845,ab006dd94ca54b06aa56454dbba1aa7b4bf14308d947286059c99b52d3693c09
selected_passages_shelley.md,data/processed/selected_passages_md/selected_passages_shelley.md,208313,744fa590debcbc8626d49a46fd99be88c5fa7bf4c8479dd2ef2ae57a59ad39e8
selected_passages_twain.md,data/processed/selected_passages_md/selected_passages_twain.md,199184,3cbfd28098e30240286ef2497a5efb1597c4b80b79425c8bd91fdfc8b4834beb
selected_passages_wilde.md,data/processed/selected_passages_md/selected_passages_wilde.md,205423,6183e57e3a9bc6b538cd19babe2302eedb19e54d3b796bb644936e4e89c04c3f
